miRNA,KMG0071_R1
MIR33B,3.43
MIR340,1700.72
MIR342,59.88
MIR345,74.38
MIR346,3.43
MIR34A,247.54
MIR34B,3.05
MIR34C,3.05
MIR3529,1.91
MIR3591,4.2
MIR3605,9.92
MIR3606,1.91
MIR3609,2.29
MIR361,1133.18
MIR3610,3.81
MIR3611,0.38
MIR3612,3.05
MIR3613,17.16
MIR3614,5.34
MIR3615,6.1
MIR3616,2.29
MIR3617,32.8
MIR3618,0
MIR3619,4.2
MIR362,40.05
MIR3620,2.29
MIR3621,2.67
MIR3622A,1.53
MIR3622B,0.38
MIR363,2.67
MIR3646,0.76
MIR3648-1,13.35
MIR3648-2,17.93
MIR3649,0.38
MIR3650,0.76
MIR3651,1.14
MIR3652,3.05
MIR3654,1.53
MIR3655,0.38
MIR3657,1.14
MIR3658,0.76
MIR3659,0.38
MIR365A,1.91
MIR365B,2.67
MIR3660,1.53
MIR3661,0.76
MIR3662,2.29
MIR3663,0.76
MIR3664,6.1
MIR3665,98.79
MIR3666,1.14
MIR3667,11.44
MIR3668,1.91
MIR367,0
MIR3671,0.38
MIR3672,0
MIR3674,1.53
MIR3675,1.14
MIR3677,1.91
MIR3678,3.81
MIR3679,14.49
MIR3680-1,1.14
MIR3680-2,0.38
MIR3681,1.14
MIR3682,0
MIR3683,1.53
MIR3684,0.38
MIR3685,3.05
MIR3686,0.76
MIR3688-1,2.29
MIR3688-2,2.67
MIR3689A,0.38
MIR3689B,0.76
MIR3689C,0
MIR3689D1,0.38
MIR3689D2,0.38
MIR3689E,0
MIR3689F,0
MIR369,56.83
MIR3690,0.38
MIR3691,3.05
MIR3692,1.53
MIR370,1.91
MIR3713,0.38
MIR3714,2.29
MIR371A,0.38
MIR371B,0
MIR372,0.76
MIR373,1.91
MIR374A,721.25
MIR374B,532.07
MIR374C,231.9
MIR375,78.95
MIR376A1,1.91
MIR376A2,10.68
MIR376B,0
MIR376C,11.44
MIR377,0.76
MIR378A,1.14
MIR378B,8.39
MIR378C,73.23
MIR378D1,0.76
MIR378D2,4.58
MIR378E,1.53
MIR378F,1.14
MIR378G,1.91
MIR378H,1.53
MIR378I,60.64
MIR378J,2.29
MIR379,34.33
MIR380,0
MIR381,0.38
MIR382,251.35
MIR383,1.14
MIR384,0
MIR3907,3.43
MIR3908,1.53
MIR3909,4.96
MIR3910-1,0.38
MIR3910-2,0
MIR3911,1.53
MIR3912,0.38
MIR3913-1,1.53
MIR3913-2,1.91
MIR3914-1,3.05
MIR3914-2,4.2
MIR3915,5.34
MIR3916,12.21
MIR3917,0.38
MIR3918,4.2
MIR3919,0
MIR3920,2.29
MIR3921,0
MIR3922,0.38
MIR3923,1.14
MIR3924,3.05
MIR3925,1.91
MIR3926-1,0
MIR3927,0
MIR3928,5.72
MIR3929,4.2
MIR3934,1.14
MIR3935,0.76
MIR3936,1.53
MIR3937,2.29
MIR3938,0.38
MIR3939,0.76
MIR3940,1.91
MIR3941,1.91
MIR3942,0.76
MIR3943,0.38
MIR3944,0
MIR3945,1.14
MIR3960,5.72
MIR3972,1.91
MIR3973,0.38
MIR3974,0
MIR3975,1.14
MIR3976,9.54
MIR3977,0.38
MIR3978,1.91
MIR409,17.55
MIR410,0
MIR411,112.52
MIR412,3.43
MIR421,0
MIR422A,3.05
MIR423,8789.67
MIR424,428.71
MIR425,4212.33
MIR4251,0.38
MIR4252,1.14
MIR4253,0.76
MIR4254,3.43
MIR4255,0.76
MIR4256,1.14
MIR4257,1.14
MIR4258,5.34
MIR4259,1.53
MIR4260,2.29
MIR4261,2.67
MIR4262,1.53
MIR4263,2.29
MIR4264,0.76
MIR4265,0.76
MIR4266,0.76
MIR4267,1.53
MIR4268,0
MIR4269,0.38
MIR4270,0.76
MIR4271,5.34
MIR4272,0.76
MIR4273,0.76
MIR4274,1.91
MIR4275,0.76
MIR4276,1.14
MIR4277,1.14
MIR4278,0.76
MIR4279,24.41
MIR4280,0
MIR4281,3.43
MIR4282,0.76
MIR4283-1,1.14
MIR4283-2,0.76
MIR4284,3.43
MIR4285,0.38
MIR4286,14.88
MIR4287,1.14
MIR4288,3.05
MIR4289,1.53
MIR429,1.14
MIR4290,3.05
MIR4291,1.53
MIR4292,0.76
MIR4293,4.58
MIR4294,0.76
MIR4295,1.91
MIR4296,2.67
MIR4297,3.43
MIR4298,4.58
MIR4299,1.53
MIR4300,0.76
MIR4301,7.25
MIR4302,3.81
MIR4303,1.14
MIR4304,1.53
MIR4305,0.38
MIR4306,3.81
MIR4307,1.14
MIR4308,0.38
MIR4309,1.53
MIR431,82.77
MIR4310,1.91
MIR4311,8.39
MIR4312,114.04
MIR4313,5.34
MIR4314,1.53
MIR4315-1,0
MIR4315-2,0.76
MIR4316,4.2
MIR4317,3.05
MIR4318,1.14
MIR4319,0
MIR432,183.84
MIR4320,0.76
MIR4321,1.53
MIR4322,10.68
MIR4323,4.2
MIR4324,1.14
MIR4325,35.47
MIR4326,15.64
MIR4327,2.67
MIR4328,0
MIR4329,2.67
